Incident Dates,District,Battalion ,Number Of Incidents
2023/04/05,South of Market,B03,10
2023/04/09,South of Market,B03,3
2023/04/17,South of Market,B02,3
2023/05/01,South of Market,B03,3
2023/06/07,South of Market,B03,7
2023/06/20,South of Market,B03,4
2023/06/25,South of Market,B03,7
2023/08/24,South of Market,B03,14
2023/10/25,South of Market,B03,10
2023/11/14,South of Market,B03,5
2023/12/10,South of Market,B03,10
2023/12/13,South of Market,B03,4
2024/02/04,South of Market,B03,11
2024/04/01,South of Market,B03,5
2024/05/09,South of Market,B03,3
2024/05/25,Tenderloin,B03,3
2024/08/22,South of Market,B03,6
2024/10/03,South of Market,B03,9
2024/10/08,South of Market,B03,2
2014/07/20,Chinatown,B01,7
2015/07/04,Chinatown,B01,5
2015/10/11,Chinatown,B01,4
2015/10/19,North Beach,B01,2
2015/12/04,Chinatown,B01,2
2014/04/20,Chinatown,B01,3
2017/05/12,Chinatown,B01,2
2017/07/20,Chinatown,B01,4
2017/10/13,Chinatown,B01,1
2017/12/16,Russian Hill,B01,3
2018/03/16,Chinatown,B01,2
2018/04/06,Chinatown,B01,2
2018/09/11,Chinatown,B01,5
2018/11/05,Chinatown,B01,5
2019/04/13,Chinatown,B01,7
2020/06/14,Chinatown,B01,1
2020/10/01,Nob Hill,B01,2
2020/12/13,Chinatown,B01,3
2021/04/11,Nob Hill,B01,3
2021/06/16,Chinatown,B01,4
2022/05/18,North Beach,B01,1
2022/09/10,Nob Hill,B01,4
2022/09/24,Chinatown,B01,3
2023/11/29,Nob Hill,B01,4
2024/03/24,Nob Hill,B01,2
2024/08/03,Financial District/South Beach,B01,1
2024/09/24,Chinatown,B01,1
2014/04/29,Tenderloin,B04,1
2014/05/28,Tenderloin,B03,4
2014/06/14,Tenderloin,B02,4
2014/07/05,Tenderloin,B02,2
2014/10/17,Tenderloin,B02,4
2014/11/16,Tenderloin,B04,2
2015/01/13,Tenderloin,B02,5
2015/02/01,Tenderloin,B02,1
2015/02/26,Nob Hill,B01,1
2015/03/21,Tenderloin,B01,4
2015/05/16,Tenderloin,B04,2
2015/06/12,Tenderloin,B01,2
2015/07/12,Tenderloin,B02,4
2015/07/28,Tenderloin,B02,8
2015/09/14,Tenderloin,B04,3
2015/12/05,Tenderloin,B02,4
2016/02/11,Tenderloin,B02,5
2016/02/22,Tenderloin,B03,1
2016/02/28,Nob Hill,B04,2
2016/03/03,Nob Hill,B04,1
2016/08/28,Tenderloin,B04,4
2016/10/25,Tenderloin,B02,1
2016/11/15,Tenderloin,B04,1
2016/12/07,Tenderloin,B04,2
2017/01/01,Nob Hill,B01,3
2017/02/20,Tenderloin,B03,2
2017/08/04,Tenderloin,B02,4
2017/08/09,Tenderloin,B03,7
2017/08/19,Tenderloin,B01,1
2017/08/21,Tenderloin,B02,6
2017/08/21,Tenderloin,B04,2
2017/10/07,Tenderloin,B04,3
2017/10/12,Japantown,B04,1
2017/11/01,Nob Hill,B04,2
2017/11/20,Tenderloin,B03,3
2017/12/23,Nob Hill,B04,1
2018/02/16,Tenderloin,B02,7
2018/04/14,Tenderloin,B02,1
2018/05/10,Financial District/South Beach,B03,2
2018/08/09,Tenderloin,B04,1
2018/08/18,Tenderloin,B03,6
2018/09/07,Tenderloin,B04,1
2018/09/10,Tenderloin,B04,2
2018/10/09,Tenderloin,B03,3
2018/11/30,Financial District/South Beach,B03,5
2018/12/14,Tenderloin,B03,4
2018/12/24,Tenderloin,B04,4
2019/01/27,Nob Hill,B04,1
2019/02/05,Tenderloin,B02,7
2019/03/01,Tenderloin,B01,2
2019/05/15,Tenderloin,B04,1
2019/06/16,Tenderloin,B03,6
2019/06/26,Tenderloin,B02,4
2019/10/03,Tenderloin,B03,5
2019/10/09,Tenderloin,B01,2
2019/11/28,Tenderloin,B02,3
2020/02/23,Tenderloin,B02,3
2020/02/24,Tenderloin,B03,1
2020/02/28,Tenderloin,B04,3
2020/03/31,Tenderloin,B02,1
2020/04/30,Nob Hill,B04,3
2020/05/10,Tenderloin,B03,4
2020/05/13,Tenderloin,B04,2
2020/06/02,Tenderloin,B03,3
2020/07/07,Nob Hill,B04,2
2020/09/07,Nob Hill,B04,1
2020/11/14,Nob Hill,B04,2
2020/11/29,Tenderloin,B03,3
2021/01/24,Tenderloin,B04,1
2021/03/11,Nob Hill,B04,1
2021/04/30,Nob Hill,B04,4
2021/05/13,Western Addition,B04,2
2021/05/13,Tenderloin,B02,7
2021/07/06,Tenderloin,B03,3
2021/08/14,Nob Hill,B04,6
2021/09/15,Nob Hill,B04,5
2021/09/20,Tenderloin,B02,3
2021/10/18,Tenderloin,B03,4
2021/11/20,Tenderloin,B04,4
2021/12/04,Tenderloin,B04,5
2022/01/12,Tenderloin,B02,5
2022/02/20,Tenderloin,B04,3
2022/03/25,Nob Hill,B04,1
2022/04/22,Tenderloin,B03,3
2022/09/05,Tenderloin,B03,5
2022/09/11,Tenderloin,B02,5
2022/09/30,Tenderloin,B01,2
2022/11/14,Tenderloin,B03,6
2023/01/01,Tenderloin,B01,3
2023/02/14,Tenderloin,B04,4
2023/03/07,Tenderloin,B04,5
2023/03/11,Tenderloin,B03,2
2023/03/17,Tenderloin,B01,2
2023/04/19,Tenderloin,B03,2
2023/04/19,Tenderloin,B01,2
2023/05/27,Nob Hill,B01,3
2023/06/08,Tenderloin,B03,6
2023/06/28,Tenderloin,B03,4
2023/09/19,Tenderloin,B02,4
2023/09/23,Nob Hill,B01,2
2023/09/29,Tenderloin,B04,2
2023/10/04,Tenderloin,B04,3
2023/11/11,Tenderloin,B04,1
2023/11/29,Tenderloin,B02,8
2023/12/29,Nob Hill,B04,1
2024/02/14,Tenderloin,B02,6
2024/03/10,Tenderloin,B03,3
2024/03/15,Tenderloin,B04,4
2024/03/31,Tenderloin,B04,1
2024/04/22,Tenderloin,B03,4
2024/04/22,Tenderloin,B04,2
2024/06/28,Tenderloin,B04,2
2024/07/07,Tenderloin,B03,5
2024/07/10,Tenderloin,B01,3
2024/09/03,Nob Hill,B04,2
2024/09/16,Tenderloin,B01,2
2024/09/22,Nob Hill,B01,2
2024/10/12,,B04,1
2016/04/04,Mission Bay,B03,1
2016/04/22,Mission Bay,B03,4
2018/06/17,Mission Bay,B03,1
2019/10/06,Mission Bay,B03,3
2019/12/07,Mission Bay,B03,3
2019/12/30,Mission Bay,B03,7
2020/06/03,Potrero Hill,B03,3
2021/06/06,Potrero Hill,B03,2
2021/06/29,Mission Bay,B03,2
2021/11/04,Potrero Hill,B03,2
2021/12/27,Mission Bay,B03,1
2022/04/25,Mission Bay,B03,2
2022/05/19,Potrero Hill,B03,2
2022/07/15,Mission Bay,B03,3
2022/09/02,Mission Bay,B03,3
2023/07/11,Mission Bay,B03,1
2024/06/16,Mission Bay,B03,3
2024/08/11,Mission Bay,B03,3
2024/08/27,Mission Bay,B03,3
2014/05/04,Western Addition,B02,1
2014/06/07,Western Addition,B04,2
