Incident Dates,District,Battalion ,Number Of Incidents
2016/10/18,Bayview Hunters Point,B10,4
2017/02/06,Bayview Hunters Point,B10,6
2017/03/05,Bayview Hunters Point,B10,1
2017/05/09,Bayview Hunters Point,B10,3
2017/09/13,Bayview Hunters Point,B10,13
2017/11/23,Bayview Hunters Point,B10,2
2018/06/16,Bayview Hunters Point,B10,7
2019/02/15,Potrero Hill,B10,1
2019/05/31,Bayview Hunters Point,B10,5
2020/12/26,Bayview Hunters Point,B10,5
2021/05/30,Potrero Hill,B10,2
2021/06/25,Bayview Hunters Point,B10,13
2023/01/27,Bayview Hunters Point,B10,11
2023/08/28,Bayview Hunters Point,B10,6
2023/12/09,Bayview Hunters Point,B10,6
2024/05/19,Bayview Hunters Point,B10,3
2024/06/23,Bayview Hunters Point,B10,5
2024/09/17,Bayview Hunters Point,B10,2
2014/05/19,Glen Park,B06,2
2014/10/11,Glen Park,B06,1
2015/03/09,Glen Park,B06,2
2015/04/27,Glen Park,B06,3
2015/10/16,Glen Park,B06,1
2016/04/19,Glen Park,B06,1
2017/10/01,Glen Park,B06,1
2018/01/29,Glen Park,B06,1
2018/02/18,Glen Park,B06,1
2018/03/15,Glen Park,B06,1
2018/09/09,Noe Valley,B06,2
2018/10/11,Glen Park,B06,1
2019/03/01,Glen Park,B06,1
2019/09/17,Glen Park,B06,2
2020/07/07,Noe Valley,B06,1
2023/02/01,Noe Valley,B06,2
2023/10/02,Glen Park,B06,1
2015/03/21,North Beach,B01,2
2015/04/09,North Beach,B01,1
2015/05/09,Russian Hill,B01,3
2015/06/08,North Beach,B01,2
2015/06/16,North Beach,B01,1
2015/10/27,Russian Hill,B01,4
2016/01/01,North Beach,B01,4
2016/02/10,North Beach,B01,2
2016/04/16,North Beach,B01,3
2016/07/12,North Beach,B01,5
2016/07/20,Russian Hill,B01,2
2016/08/20,North Beach,B01,1
2016/10/23,North Beach,B01,1
2017/03/12,North Beach,B01,5
2017/03/13,North Beach,B01,2
2017/06/08,North Beach,B01,2
2017/08/18,Russian Hill,B01,1
2017/10/16,North Beach,B01,2
2018/02/24,North Beach,B01,4
2018/04/23,Russian Hill,B01,3
2018/06/02,Russian Hill,B01,1
2018/06/24,Chinatown,B01,4
2018/07/30,North Beach,B01,4
2018/10/01,Russian Hill,B01,2
2018/10/14,North Beach,B01,2
2018/11/04,North Beach,B01,3
2018/12/25,North Beach,B01,1
2019/09/19,North Beach,B01,2
2020/08/20,Russian Hill,B01,2
2020/11/12,North Beach,B01,3
2021/04/01,Russian Hill,B01,1
2021/08/27,Russian Hill,B01,4
2022/02/06,North Beach,B01,6
2022/02/19,North Beach,B01,1
2022/06/21,Russian Hill,B01,1
2022/11/16,North Beach,B01,3
2023/02/22,North Beach,B01,5
2023/07/04,North Beach,B01,1
2023/10/14,North Beach,B01,2
2023/11/29,North Beach,B01,5
2024/01/15,North Beach,B01,5
2024/04/06,North Beach,B01,3
2024/08/31,North Beach,B01,2
2024/09/02,Russian Hill,B01,1
2024/10/11,,B01,1
2014/06/23,Mission Bay,B03,1
2014/10/21,Mission Bay,B02,1
2015/03/03,Mission,B02,5
2015/03/09,Mission,B02,4
2015/08/17,South of Market,B03,10
2016/10/18,South of Market,B03,4
2016/11/13,Mission,B02,3
2017/02/04,South of Market,B02,4
2017/11/02,Mission,B02,4
2019/03/25,Mission,B02,6
2019/04/30,Potrero Hill,B02,1
2022/03/08,South of Market,B03,5
2022/03/20,Mission Bay,B03,1
2022/04/01,Mission Bay,B03,1
2022/05/01,Mission,B02,2
2022/06/29,Mission Bay,B03,4
2023/10/13,Mission,B02,11
2024/03/24,Mission,B02,8
2024/04/19,Mission Bay,B03,5
2024/09/21,Mission,B02,5
2014/07/08,South of Market,B03,5
2014/07/22,Inner Richmond,B07,1
2014/11/08,Seacliff,B07,1
2015/02/25,Outer Richmond,B07,5
2015/05/05,Inner Richmond,B07,1
2015/05/15,Outer Richmond,B07,3
2015/05/21,Golden Gate Park,B07,1
2015/06/19,Outer Richmond,B07,1
2015/07/11,Inner Richmond,B07,2
2015/09/02,Inner Richmond,B07,3
2016/03/02,Inner Richmond,B07,4
2016/04/05,Outer Richmond,B07,1
2016/04/05,Inner Richmond,B07,3
2016/04/21,Outer Richmond,B07,1
2016/05/26,Inner Richmond,B07,1
2016/06/17,Inner Richmond,B07,4
2016/09/01,Inner Richmond,B07,2
2016/11/10,Inner Richmond,B07,1
2016/11/15,Inner Richmond,B07,1
2016/11/18,Golden Gate Park,B07,1
2014/03/22,Inner Richmond,B07,3
2014/03/28,Inner Richmond,B07,1
2017/01/31,Outer Richmond,B07,2
2017/03/12,Outer Richmond,B07,4
2017/04/05,Outer Richmond,B07,2
2017/07/11,Outer Richmond,B07,5
2017/07/14,Inner Richmond,B07,3
2017/09/12,Presidio,B99,1
2017/09/29,Inner Richmond,B07,1
2017/10/01,Outer Richmond,B07,2
2017/11/27,Outer Richmond,B07,3
2017/12/31,Inner Richmond,B07,2
2018/04/02,Golden Gate Park,B07,1
2018/05/03,Inner Richmond,B07,2
2018/05/25,Golden Gate Park,B07,1
2018/07/12,Outer Richmond,B07,2
2018/08/14,Inner Richmond,B07,2
2018/10/16,Outer Richmond,B07,2
2019/01/23,Outer Richmond,B07,1
2019/04/14,Inner Richmond,B07,2
2019/05/14,Inner Richmond,B07,1
2019/07/06,Inner Richmond,B07,1
2019/08/18,Inner Richmond,B07,2
2019/09/19,Inner Richmond,B07,5
2019/11/11,Inner Richmond,B07,2
2019/11/14,Outer Richmond,B07,1
2020/07/17,Inner Richmond,B07,1
2020/07/29,Inner Richmond,B07,4
2020/09/21,Outer Richmond,B07,1
2020/12/18,Inner Richmond,B07,3
2021/05/18,Inner Richmond,B07,1
2021/11/02,Inner Richmond,B07,1
2021/11/03,Inner Richmond,B07,4
2021/11/12,Inner Richmond,B07,2
2021/12/09,Inner Richmond,B07,4
2022/03/08,Inner Richmond,B07,2
2022/03/20,Outer Richmond,B07,4
2022/10/19,Inner Richmond,B07,6
2022/12/02,Inner Richmond,B07,7
2023/04/05,Outer Richmond,B07,5
2023/04/21,Inner Richmond,B07,2
2023/06/18,Inner Richmond,B07,1
2023/09/13,Inner Richmond,B07,4
2024/01/31,Outer Richmond,B07,3
2024/03/08,Inner Richmond,B07,3
2024/03/20,Inner Richmond,B07,1
2014/06/25,Bernal Heights,B06,5
2014/06/27,Bernal Heights,B06,1
2014/10/30,Outer Mission,B09,4
2014/11/01,Outer Mission,B09,2
2014/12/04,Bernal Heights,B06,4
2014/12/23,Bernal Heights,B06,2
2015/01/28,Bernal Heights,B06,4
2015/04/02,Bernal Heights,B06,3
2015/04/12,Bernal Heights,B06,2
2015/04/25,Bernal Heights,B06,3
2015/05/18,Bernal Heights,B06,1
2015/06/02,Bernal Heights,B06,1
2015/07/01,Bernal Heights,B06,4
2015/08/28,Bernal Heights,B10,2
2015/09/01,Excelsior,B09,2
2015/10/31,Bernal Heights,B06,1
2015/11/03,Bernal Heights,B06,1
2016/04/11,Bernal Heights,B06,3
2016/07/16,Excelsior,B09,1
2016/07/27,Bernal Heights,B06,1
2016/09/07,Excelsior,B09,2
2016/12/21,Bernal Heights,B06,2
2014/03/30,Bernal Heights,B10,1
2014/04/11,Outer Mission,B09,3
2014/04/11,Bernal Heights,B06,1
2017/01/20,Outer Mission,B09,4
2017/04/10,Bernal Heights,B06,1
2017/06/18,Bernal Heights,B10,1
2017/09/10,Bernal Heights,B06,2
2018/08/10,Bernal Heights,B06,3
2018/11/21,Bernal Heights,B06,3
2019/06/04,Bernal Heights,B06,2
2019/10/02,Bernal Heights,B06,2
2019/11/13,Excelsior,B09,2
2019/11/18,Bernal Heights,B06,3
2020/07/08,Excelsior,B09,2
2021/01/15,Bernal Heights,B06,2
2021/01/26,Bernal Heights,B10,2
2021/11/01,Bernal Heights,B10,1
2022/05/27,Bernal Heights,B06,5
2022/06/08,Bernal Heights,B10,4
2022/06/14,Outer Mission,B06,2
2022/07/21,Bernal Heights,B06,3
2022/08/11,Bernal Heights,B06,1
2022/09/19,Outer Mission,B09,1
2022/12/14,Bernal Heights,B06,3
2023/01/03,Glen Park,B06,1
2023/01/21,Bernal Heights,B06,3
2023/07/04,Bernal Heights,B10,2
2024/03/08,Bernal Heights,B10,2
2014/07/31,Oceanview/Merced/Ingleside,B09,1
2014/08/01,Oceanview/Merced/Ingleside,B09,1
2016/02/17,Outer Mission,B09,3
2016/03/06,Oceanview/Merced/Ingleside,B09,2
2017/01/02,Lakeshore,B08,2
2017/08/31,Oceanview/Merced/Ingleside,B09,3
2017/11/29,Outer Mission,B09,3
2018/03/14,Outer Mission,B09,2
2018/06/26,Excelsior,B09,3
2018/09/19,Oceanview/Merced/Ingleside,B09,2
2018/12/09,Oceanview/Merced/Ingleside,B09,2
2018/12/13,Oceanview/Merced/Ingleside,B09,5
2019/04/20,Oceanview/Merced/Ingleside,B09,2
2019/04/25,Outer Mission,B09,1
2019/08/22,Oceanview/Merced/Ingleside,B09,3
2019/09/30,Oceanview/Merced/Ingleside,B09,3
2019/12/05,Oceanview/Merced/Ingleside,B09,4
2020/01/02,Oceanview/Merced/Ingleside,B09,5
2020/05/18,Oceanview/Merced/Ingleside,B09,1
2020/07/05,Oceanview/Merced/Ingleside,B09,2
2020/11/25,Excelsior,B09,5
2021/04/12,Outer Mission,B09,1
2021/04/23,Oceanview/Merced/Ingleside,B09,4
2021/11/18,Oceanview/Merced/Ingleside,B09,3
2021/12/08,Lakeshore,B08,3
2021/12/13,Oceanview/Merced/Ingleside,B09,2
2022/10/03,Oceanview/Merced/Ingleside,B09,2
2023/02/10,Oceanview/Merced/Ingleside,B09,2
2023/04/07,Excelsior,B09,2
2023/09/26,Outer Mission,B09,2
2023/12/27,Oceanview/Merced/Ingleside,B09,2
2024/03/11,Oceanview/Merced/Ingleside,B09,2
2024/05/07,Oceanview/Merced/Ingleside,B09,1
2024/10/02,Oceanview/Merced/Ingleside,B09,3
2014/04/25,Outer Richmond,B07,4
2014/08/24,Outer Richmond,B07,3
2014/12/25,Outer Richmond,B07,3
2015/09/17,Outer Richmond,B07,2
2015/10/17,Lincoln Park,B07,1
2015/10/30,Outer Richmond,B07,3
2016/10/20,Outer Richmond,B07,3
2017/04/24,Outer Richmond,B07,3
2017/06/09,Outer Richmond,B07,3
2017/06/15,Outer Richmond,B07,5
2018/04/25,Outer Richmond,B07,2
2018/06/20,Outer Richmond,B07,5
2018/07/04,Outer Richmond,B07,4
2018/09/10,Outer Richmond,B07,3
2019/02/11,Outer Richmond,B07,1
2019/02/19,Outer Richmond,B07,7
2019/09/07,Outer Richmond,B07,4
2019/11/13,Outer Richmond,B07,6
2020/01/17,Outer Richmond,B07,1
2020/08/13,Outer Richmond,B07,3
2021/01/03,Outer Richmond,B07,1
2021/01/15,Outer Richmond,B07,5
2021/03/15,Outer Richmond,B07,3
2021/09/07,Outer Richmond,B07,3
2021/12/01,Outer Richmond,B07,2
2022/04/13,Outer Richmond,B07,4
2022/05/29,Outer Richmond,B07,4
2022/07/02,Golden Gate Park,B07,2
2023/03/28,Outer Richmond,B07,2
2023/04/18,Outer Richmond,B07,3
2023/09/20,Lincoln Park,B07,1
2024/02/19,Outer Richmond,B07,8
2024/08/02,Golden Gate Park,B07,2
2024/09/01,Outer Richmond,B07,2
2016/04/14,Financial District/South Beach,B03,5
2017/06/01,Financial District/South Beach,B03,3
2018/06/05,Financial District/South Beach,B03,3
2018/06/14,Financial District/South Beach,B03,7
2018/06/18,Financial District/South Beach,B03,12
2018/07/12,Financial District/South Beach,B03,5
2018/07/19,Financial District/South Beach,B03,2
2019/11/11,Financial District/South Beach,B03,4
2020/06/14,Financial District/South Beach,B03,2
2021/05/11,Financial District/South Beach,B03,4
2022/04/20,Financial District/South Beach,B03,4
2022/07/04,Financial District/South Beach,B03,8
2022/08/04,Financial District/South Beach,B03,7
2022/10/16,Financial District/South Beach,B03,7
2023/07/31,Financial District/South Beach,B03,5
2023/08/20,Financial District/South Beach,B03,4
2023/12/16,Financial District/South Beach,B03,7
2024/01/19,Financial District/South Beach,B03,6
2024/05/01,Financial District/South Beach,B03,4
2014/05/18,South of Market,B02,3
2014/06/07,Mission,B02,6
2014/06/08,Mission,B02,7
2014/06/11,Hayes Valley,B02,4
2014/09/01,Western Addition,B02,1
2014/09/25,Hayes Valley,B02,3
2015/07/17,South of Market,B02,1
2016/01/25,Mission,B02,3
2016/02/28,South of Market,B02,1
2016/07/21,Mission,B02,6
2016/08/03,Mission,B02,8
2016/09/14,South of Market,B02,5
2016/12/01,Hayes Valley,B02,1
2014/03/26,South of Market,B02,3
2017/04/25,Western Addition,B02,3
2017/08/07,Tenderloin,B02,7
2017/10/03,Mission,B02,9
2017/12/17,Hayes Valley,B02,2
2018/03/31,Mission,B02,7
2018/06/25,Hayes Valley,B02,2
2018/09/30,Hayes Valley,B02,1
2019/04/16,Hayes Valley,B02,1
2019/12/16,Hayes Valley,B02,2
2020/03/07,Hayes Valley,B02,4
2020/08/19,Mission,B02,10
2020/11/25,Hayes Valley,B02,2
2021/04/17,South of Market,B02,4
2021/06/27,Tenderloin,B02,7
2022/09/30,Hayes Valley,B02,6
2022/11/15,South of Market,B02,8
2023/02/11,Tenderloin,B03,6
2023/07/08,Tenderloin,B02,8
2023/12/17,Hayes Valley,B02,3
2024/01/20,Hayes Valley,B02,2
2024/05/11,Tenderloin,B03,7
2024/06/11,Tenderloin,B02,5
2024/07/02,Tenderloin,B02,11
2024/08/08,Hayes Valley,B02,3
2014/06/22,Potrero Hill,B10,2
2014/09/13,Potrero Hill,B10,3
2015/01/13,Potrero Hill,B10,2
2015/02/21,Potrero Hill,B10,1
2015/04/11,Potrero Hill,B10,1
2015/07/05,Potrero Hill,B03,1
2015/11/02,Potrero Hill,B10,2
2016/02/02,Potrero Hill,B10,2
2016/03/20,Potrero Hill,B10,3
2016/04/03,Potrero Hill,B10,1
2016/08/08,Potrero Hill,B10,1
2016/11/22,Potrero Hill,B10,3
2017/02/06,Potrero Hill,B10,1
2017/03/17,Potrero Hill,B10,2
2017/04/05,Potrero Hill,B10,1
2017/04/16,Potrero Hill,B10,2
2017/07/07,Potrero Hill,B10,4
2017/07/25,Potrero Hill,B10,1
2017/08/23,Potrero Hill,B10,3
2017/09/06,Potrero Hill,B10,3
2018/01/10,Potrero Hill,B10,3
2018/01/24,Potrero Hill,B10,3
2018/02/08,Potrero Hill,B10,2
2018/08/29,Mission,B10,1
2018/09/18,Potrero Hill,B03,1
2020/04/07,Potrero Hill,B10,1
2020/11/17,Potrero Hill,B10,2
2021/01/17,Bayview Hunters Point,B10,6
2021/09/18,Potrero Hill,B10,2
2022/02/16,Potrero Hill,B10,3
2022/03/05,Potrero Hill,B10,1
2022/03/07,Potrero Hill,B10,1
2022/04/29,Potrero Hill,B10,1
2023/01/04,Potrero Hill,B10,2
2023/04/09,Potrero Hill,B10,4
2024/09/22,Potrero Hill,B10,1
2014/08/13,Pacific Heights,B04,5
2014/08/13,Nob Hill,B04,2
2014/09/01,Pacific Heights,B04,4
2014/10/04,Pacific Heights,B04,4
2015/02/26,Western Addition,B04,1
2015/06/15,Western Addition,B04,1
2015/09/24,Pacific Heights,B04,2
2015/09/30,Pacific Heights,B04,6
2015/10/07,Pacific Heights,B04,2
2015/11/12,Western Addition,B04,3
2016/01/26,Pacific Heights,B04,2
2016/02/08,Russian Hill,B04,1
2016/05/05,Pacific Heights,B04,3
2016/07/04,Pacific Heights,B04,2
2016/07/18,Pacific Heights,B04,3
2016/07/23,Pacific Heights,B04,2
2016/10/13,Pacific Heights,B04,3
2014/03/25,Pacific Heights,B04,2
2017/02/09,Pacific Heights,B04,2
2017/05/28,Pacific Heights,B04,3
2017/07/11,Pacific Heights,B04,2
2017/08/25,Pacific Heights,B04,3
2018/02/12,Pacific Heights,B04,3
2018/07/05,Pacific Heights,B04,2
2018/08/01,Pacific Heights,B04,1
2018/11/30,Pacific Heights,B04,4
2018/12/05,Pacific Heights,B04,5
2019/01/02,Pacific Heights,B04,5
2019/02/16,Pacific Heights,B04,5
2019/04/18,Pacific Heights,B04,3
2019/05/15,Pacific Heights,B04,4
2019/05/25,Pacific Heights,B04,2
2019/06/20,Pacific Heights,B04,6
2019/07/23,Japantown,B04,2
2019/08/22,Pacific Heights,B04,6
2019/11/24,Pacific Heights,B04,1
2019/12/07,Pacific Heights,B04,6
2019/12/14,Pacific Heights,B04,2
2020/07/14,Pacific Heights,B04,7
2020/09/04,Pacific Heights,B04,4
2020/12/09,Pacific Heights,B04,5
2021/07/29,Pacific Heights,B04,5
2021/09/25,Pacific Heights,B04,2
2021/10/01,Pacific Heights,B04,6
2022/07/31,Pacific Heights,B04,3
2022/08/12,Western Addition,B04,2
2022/09/03,Pacific Heights,B04,3
2022/12/26,Pacific Heights,B04,3
2022/12/27,Pacific Heights,B04,4
2023/03/01,Pacific Heights,B04,1
2023/06/05,Pacific Heights,B04,4
2023/08/24,Pacific Heights,B04,5
2024/05/12,Pacific Heights,B04,1
2014/04/22,West of Twin Peaks,B08,2
2014/04/25,West of Twin Peaks,B08,1
2015/04/28,West of Twin Peaks,B08,2
2015/07/11,West of Twin Peaks,B09,2
2015/07/18,Twin Peaks,B08,1
2016/01/22,West of Twin Peaks,B08,2
2016/02/02,West of Twin Peaks,B08,2
2016/11/03,West of Twin Peaks,B09,2
2017/01/15,West of Twin Peaks,B08,2
2017/03/21,West of Twin Peaks,B08,4
2017/06/18,West of Twin Peaks,B08,3
2017/06/19,West of Twin Peaks,B09,1
2017/08/29,West of Twin Peaks,B08,1
2017/09/12,West of Twin Peaks,B08,1
2018/02/08,West of Twin Peaks,B08,2
2018/09/11,Twin Peaks,B08,2
2018/11/10,West of Twin Peaks,B09,5
2019/01/29,West of Twin Peaks,B09,1
2019/05/12,West of Twin Peaks,B08,3
2019/10/19,West of Twin Peaks,B09,1
2020/04/24,West of Twin Peaks,B09,2
2020/11/09,West of Twin Peaks,B08,2
2021/02/05,West of Twin Peaks,B08,2
2021/08/27,West of Twin Peaks,B08,3
2022/10/03,West of Twin Peaks,B09,4
2022/11/03,West of Twin Peaks,B08,2
2022/12/21,West of Twin Peaks,B09,2
2023/08/09,West of Twin Peaks,B08,2
2024/02/06,West of Twin Peaks,B08,2
2024/05/15,West of Twin Peaks,B09,3
2015/04/26,Sunset/Parkside,B08,2
2015/06/21,West of Twin Peaks,B08,1
2015/09/08,Sunset/Parkside,B08,6
2016/06/18,Sunset/Parkside,B08,5
2016/06/26,West of Twin Peaks,B08,1
2016/07/26,Sunset/Parkside,B08,3
2016/11/03,West of Twin Peaks,B08,1
2017/01/10,Inner Sunset,B08,3
2017/01/15,Sunset/Parkside,B08,3
2017/04/29,West of Twin Peaks,B08,1
2017/07/26,Inner Sunset,B08,1
2017/07/30,Sunset/Parkside,B08,5
2017/08/09,West of Twin Peaks,B08,1
2018/09/01,Inner Sunset,B08,3
2018/09/14,Inner Sunset,B08,2
2019/01/02,Sunset/Parkside,B08,2
2019/04/25,West of Twin Peaks,B08,1
2019/12/11,West of Twin Peaks,B08,2
2020/02/04,Inner Sunset,B08,1
2021/09/03,West of Twin Peaks,B08,1
2022/04/22,Inner Sunset,B08,1
2022/10/04,Inner Sunset,B08,2
2022/11/05,West of Twin Peaks,B08,4
2023/05/29,Inner Sunset,B08,2
2023/06/20,Inner Sunset,B08,6
2023/07/08,Inner Sunset,B08,6
2015/01/15,Nob Hill,B01,3
2015/03/17,Russian Hill,B04,1
2016/01/13,Nob Hill,B01,2
2016/07/01,Russian Hill,B01,2
2016/07/14,Russian Hill,B04,2
2016/11/26,Nob Hill,B01,2
2017/01/29,Russian Hill,B01,3
2017/05/12,Russian Hill,B01,3
2017/07/05,Nob Hill,B01,3
2017/10/24,Nob Hill,B04,4
2018/01/21,Nob Hill,B01,2
2018/03/02,Nob Hill,B01,2
2018/03/28,Western Addition,B04,3
2018/04/05,Nob Hill,B01,3
2018/11/07,Russian Hill,B01,2
2019/01/12,Nob Hill,B01,1
2019/06/20,Nob Hill,B01,2
2019/10/19,Nob Hill,B04,1
2019/10/27,Nob Hill,B01,1
2020/12/05,Nob Hill,B01,2
2021/05/29,Nob Hill,B04,5
2022/03/24,Nob Hill,B01,3
2022/10/23,Nob Hill,B04,3
2022/11/25,Nob Hill,B01,4
2022/12/03,Russian Hill,B04,2
2023/02/16,Nob Hill,B01,3
2023/06/20,Nob Hill,B01,4
2023/06/23,Nob Hill,B01,3
2023/09/14,Nob Hill,B01,5
2023/10/01,Nob Hill,B01,2
2023/12/09,Nob Hill,B04,2
2024/04/01,Nob Hill,B01,1
2024/08/11,Nob Hill,B01,3
2024/08/19,Russian Hill,B01,1
2024/10/05,Nob Hill,B01,2
2024/10/07,Russian Hill,B01,3
2014/10/22,Portola,B10,3
2014/11/17,Excelsior,B09,5
2014/12/26,Portola,B09,1
2015/02/06,Bayview Hunters Point,B10,11
2015/04/13,Bayview Hunters Point,B10,5
2015/05/12,Portola,B09,1
2015/09/16,Bayview Hunters Point,B10,5
2015/10/23,Bayview Hunters Point,B10,4
2015/12/14,Bayview Hunters Point,B10,1
2016/01/06,Portola,B10,2
2016/05/19,Bayview Hunters Point,B10,7
2016/09/08,Bayview Hunters Point,B10,11
2017/05/17,Portola,B10,3
2018/06/25,Portola,B09,1
2018/12/06,Portola,B10,1
2018/12/19,Bayview Hunters Point,B10,3
2019/03/13,Bayview Hunters Point,B10,10
2019/04/13,Bayview Hunters Point,B10,4
2019/07/20,Portola,B10,1
2019/10/19,Portola,B10,1
2019/11/19,Portola,B09,1
2020/01/07,Bayview Hunters Point,B10,8
2020/08/19,Portola,B09,1
2020/10/19,Portola,B09,1
2021/05/20,Portola,B10,1
2022/04/12,Bayview Hunters Point,B10,6
2022/05/06,Portola,B10,2
2022/06/11,Portola,B10,1
2023/02/28,Bayview Hunters Point,B10,7
2023/11/30,Bayview Hunters Point,B10,6
2024/01/14,Portola,B10,3
2024/01/31,Portola,B09,1
2024/03/12,Bayview Hunters Point,B10,7
2024/07/03,Portola,B10,1
2024/09/17,,B10,3
2015/03/03,Excelsior,B09,3
2015/03/04,Excelsior,B09,1
2015/03/19,Excelsior,B09,3
2015/05/29,Excelsior,B09,2
2015/06/12,Excelsior,B09,3
2015/08/14,Excelsior,B09,2
2015/10/11,Excelsior,B09,2
2015/10/14,Excelsior,B09,3
2016/02/21,Excelsior,B09,3
2016/06/06,Excelsior,B09,2
2016/07/29,McLaren Park,B09,1
2016/08/07,Excelsior,B09,5
2016/10/05,Outer Mission,B09,3
2016/11/12,Excelsior,B09,1
2017/01/05,Excelsior,B09,2
2014/03/13,Visitacion Valley,B09,1
2017/04/24,Excelsior,B09,1
2017/06/10,Excelsior,B09,3
2017/06/27,Outer Mission,B09,3
2017/07/23,Visitacion Valley,B09,2
2017/07/24,Excelsior,B09,4
2017/08/28,Excelsior,B09,4
2018/03/23,Excelsior,B09,1
